procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18700 206732 170868 293108    0    1    16    89  349  680 16  2 82  0  0
 0  0  18700 206896 170868 293112    0    0     0     0  528 1078  3  1 96  0  0
 0  0  18700 206896 170880 293100    0    0     0   208  550 1188  2  1 97  1  0
 0  0  18700 206896 170880 293112    0    0     0    36  615 1204  5  1 94  0  0
 0  0  18700 206896 170892 293116    0    0     4    40  629 1185  5  1 94  0  0
 0  0  18700 206800 170900 293108    0    0     0   628  640 1246  5  1 94  1  0
 1  0  18700 206832 170912 293116    0    0     0    36  615 1257  5  0 95  1  0
 0  0  18700 206832 170916 293116    0    0     0   160  555 1002  2  1 97  0  0
 0  0  18700 206832 170924 293116    0    0     0    20  579 1106  3  1 95  0  0
 1  0  18700 206460 170936 293116    0    0     0   176  609 1256  3  1 95  1  0
 0  0  18700 206460 170940 293112    0    0     0   224  622 1265  5  1 95  0  0
 0  0  18700 206460 170956 293116    0    0     0   160  547 1167  2  1 97  1  0
 0  0  18700 206336 170964 293108    0    0     0    20  484 1084  3  1 97  0  0
 0  0  18700 206336 170964 293108    0    0     0     0  509 1041  3  0 97  0  0
 0  0  18700 206368 170964 293120    0    0     0    20  551 1096  4  1 95  0  0
 0  0  18700 206452 170964 293120    0    0     0     0  523 1039  4  0 96  0  0
 0  0  18700 206492 170976 293120    0    0     0   160  521 1019  3  1 96  1  0
 1  0  18700 206492 170984 293112    0    0     0    20  545 1058  3  1 97  0  0
 2  0  18700 206492 170992 293120    0    0     0    20  631 1261  3  1 95  1  0
 0  0  18700 206616 170996 293116    0    0     0   160  542 1228  3  1 96  1  0
 0  0  18700 206616 171008 293120    0    0     0    44  557 1210  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18700 206616 171012 293116    0    0     0   160  558 1197  2  1 96  1  0
 1  0  18700 206616 171020 293120    0    0     0    20  510 1155  2  1 97  0  0
 0  0  18700 206616 171020 293120    0    0     0     0  582 1186  4  0 96  0  0
 0  0  18700 206616 171032 293120    0    0     0    36  565 1161  5  1 95  0  0
 0  0  18700 206616 171048 293104    0    0     0   292  581 1208  3  1 96  0  0
 0  0  18700 206616 171056 293120    0    0     0    20  584 1104  3  1 97  1  0
 0  0  18700 206616 171056 293120    0    0     0     0  538 1175  3  0 97  0  0
 0  0  18700 206616 171060 293120    0    0     0    20  517 1144  4  0 96  0  0
 0  0  18700 206492 171064 293120    0    0     0   160  512 1205  3  1 96  1  0
 0  0  18700 206492 171080 293104    0    0     0    44  539 1083  4  1 95  0  0
 0  0  18700 206492 171092 293120    0    0     0   160  512 1033  2  1 97  1  0
 0  0  18700 206492 171092 293120    0    0     0    20  576 1168  4  1 95  0  0
 0  0  18700 206524 171092 293120    0    0     0    20  543 1209  4  1 95  1  0
 0  0  18700 206524 171104 293120    0    0     0    36  643 1278  4  2 94  0  0
 0  0  18700 206524 171120 293104    0    0     0   324  641 1271  5  1 94  1  0
 0  0  18700 206524 171124 293128    0    0     4    36  737 1316  4  1 95  0  0
 0  0  18700 206524 171136 293116    0    0     0   160  570 1161  2  1 97  1  0
 0  0  18700 206524 171136 293128    0    0     0    20  588 1228  4  1 95  0  0
 0  0  18700 206384 171148 293116    0    0     0   172  659 1415  3  1 96  1  0
 0  0  18700 206432 171148 293128    0    0     0    36  572 1256  4  1 94  1  0
 0  0  18700 206432 171160 293116    0    0     0   192  573 1246  3  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18700 206432 171168 293128    0    0     0    20  595 1279  3  1 96  0  0
 0  0  18700 206432 171168 293128    0    0     0     0  624 1243  4  0 96  0  0
 0  0  18700 206432 171172 293124    0    0     0    80  594 1222  3  0 96  1  0
 0  0  18700 206432 171192 293132    0    0     0  3356  581 1420  3  2 95  1  0
 0  0  18700 206432 171200 293124    0    0     0    20  526 1067  3  1 97  0  0
 0  0  18700 206804 171200 293132    0    0     0     0  682 1105  6  1 93  0  0
 1  0  18700 206804 171200 293132    0    0     0    20  700 1176  9  2 89  1  0
 0  0  18700 206712 171208 293132    0    0     0   168  640 1322  3  1 96  1  0
 0  0  18700 206712 171208 293132    0    0     4    40  555 1164  4  1 96  0  0
 0  0  18700 206712 171220 293136    0    0     0   160  576 1174  2  1 97  1  0
 3  0  18700 206712 171224 293132    0    0     0    20  507 1087  1  0 99  0  0
 0  0  18700 206712 171224 293136    0    0     0     0  513 1095  2  1 97  0  0
 0  0  18700 206744 171236 293136    0    0     0    36  594 1166  4  1 96  0  0
 1  0  18700 206620 171252 293120    0    0     0   260  578 1220  3  1 96  1  0
 0  0  18700 206620 171260 293140    0    0     0    20  559 1137  2  1 97  0  0
 0  0  18700 206620 171260 293140    0    0     0     0  522 1107  3  1 97  0  1
 0  0  18700 206620 171268 293140    0    0     0    20  587 1114  3  1 96  1  0
 0  0  18700 206480 171284 293124    0    0     0   160  552 1246  2  1 97  1  0
