procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  40960 211060 152648 200480    0    1    13    87  342  671 14  2 84  0  0
 0  0  40960 211356 152648 200484    0    0     0     0  628 1266  3  1 96  0  0
 0  0  40960 211356 152676 200484    0    0     0   372  662 1340  4  0 96  1  0
 0  0  40960 211388 152676 200484    0    0     0     0  629 1271  3  1 97  0  0
 0  0  40960 211388 152692 200484    0    0     0   192  677 1363  5  1 94  1  0
 0  0  40960 211388 152692 200484    0    0     0     0  645 1309  4  1 96  0  0
 0  0  40960 211388 152712 200484    0    0     0   176  580 1241  3  1 96  1  0
 0  0  40960 211388 152720 200476    0    0     0    20  596 1258  5  1 94  1  0
 0  0  40960 211388 152728 200484    0    0     0    20  611 1236  5  1 94  0  0
 0  0  40960 211388 152732 200480    0    0     0    20  602 1245  3  0 97  1  0
 0  0  40960 211388 152740 200484    0    0     0    44  706 1401  6  2 93  0  0
 0  0  40960 211388 152740 200484    0    0     0     0  567 1047  3  1 97  0  0
 0  0  40960 211388 152764 200484    0    0     0   420  520 1202  4  1 95  1  0
 0  0  40960 211388 152764 200484    0    0     0     0  537 1197  2  0 97  0  1
 0  0  40960 211388 152792 200484    0    0     0   192  584 1257  3  1 96  1  0
 0  0  40960 211388 152792 200484    0    0     0   180  563 1108  3  1 97  0  0
 0  0  40960 211388 152812 200484    0    0     0   176  460 1162  2  1 97  1  0
 0  0  40960 211388 152812 200484    0    0     0     0  484 1083  2  1 97  0  0
 0  0  40960 211388 152812 200484    0    0     0     0  478 1096  3  1 97  0  0
 0  0  40960 211388 152816 200480    0    0     0    20  505 1126  2  1 97  0  0
 0  0  40960 211380 152824 200484    0    0     0    20  579 1230  3  2 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  40960 211388 152848 200476    0    0     0   176  511 1139  2  1 97  0  0
 0  0  40960 211388 152852 200484    0    0     0    20  566 1214  5  0 94  1  0
 0  0  40960 211388 152852 200484    0    0     0     0  472 1128  2  1 97  0  0
 0  0  40960 211420 152884 200484    0    0     0   192  559 1209  3  1 96  1  0
 0  0  40960 211420 152884 200484    0    0     0     4  621 1239  8  1 92  0  0
 0  0  40960 211484 152884 200488    0    0     0     0  749 1244  7  2 91  0  0
 0  0  40960 211484 152884 200488    0    0     0     0  514 1093  3  0 96  0  0
 0  0  40960 211484 152904 200488    0    0     0   200  636 1216  4  1 95  1  0
 1  0  40960 211484 152908 200484    0    0     0    20  605 1157  3  1 96  1  0
 0  0  40960 211352 152908 200488    0    0     0    36  556 1193  3  1 97  0  0
 0  0  40960 211360 152924 200480    0    0     0   308  600 1235  2  1 97  0  0
 0  0  40960 211360 152932 200492    0    0     4    24  605 1225  4  1 95  0  0
 0  0  40960 211360 152932 200492    0    0     0     0  591 1244  4  0 96  0  0
 0  0  40960 211360 152952 200492    0    0     0   192  616 1351  4  1 94  1  0
 0  0  40960 211360 152952 200492    0    0     0     0  613 1179  3  1 96  0  0
