procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  24576 234380 140364 231092    0    1    10   112  340  676 12  1 86  0  0
 0  0  24576 234504 140364 231100    0    0     0     0  582 1146  3  1 97  0  0
 2  0  24576 225972 140376 231168    0    0    68   156 1022 1741 37  3 60  0  0
 1  0  24576 217104 140376 231168    0    0     0     0 1056 2171 48  3 49  0  0
 1  0  24576 216020 140376 231172    0    0     0     0 1168 2266 46  3 51  0  0
 2  0  24576 215800 140376 231328    0    0    24     0 1472 2530 46  2 51  0  0
 0  0  24576 215800 140408 231304    0    0     4   148  661 1316  5  1 93  1  0
 1  0  24576 215800 140416 231296    0    0     0    20  559 1034  4  0 96  0  0
 0  0  24576 215800 140428 231352    0    0     0   712  539 1203  3  0 96  1  0
 0  0  24576 215708 140428 231352    0    0     0    20  554 1236  3  2 96  0  0
 0  0  24576 215708 140428 231352    0    0     0     0  504 1086  3  0 97  0  0
 1  0  24576 215708 140428 231352    0    0     0     0  538 1117  2  2 96  0  0
 1  0  24576 215708 140448 231348    0    0     4    56  569 1099  5  1 94  1  0
 0  0  24576 215708 140452 231344    0    0     0    20  614 1138  5  0 95  0  0
 0  0  24576 215708 140468 231356    0    0     0   484  569 1168  3  1 95  0  0
 1  0  24576 215708 140480 231356    0    0     0    36  637 1238  5  1 95  0  0
 1  0  24576 215708 140500 231336    0    0     4    56  614 1171  4  1 95  1  0
 0  0  24576 215772 140508 231360    0    0     0   892  657 1172  3  1 95  1  0
 0  0  24576 215772 140524 231344    0    0     0   548  593 1164  4  0 96  0  0
 0  0  24576 215524 140532 231360    0    0     0    20  594 1143  4  1 95  0  0
 0  0  24576 215524 140532 231360    0    0     0     0  520 1081  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  24576 215556 140532 231360    0    0     0     0  542 1077  2  1 97  0  0
 3  0  24576 215588 140536 231356    0    0     0    44  587 1063  5  1 94  0  0
 0  0  24576 215588 140560 231356    0    0     4    80  621 1050  3  1 96  1  0
 1  0  24576 215492 140592 231340    0    0     0  3676  591 1269  4  1 95  0  0
 1  0  24576 215556 140596 231364    0    0     0    20  518 1030  2  1 97  0  0
 1  0  24576 215556 140596 231364    0    0     0    20  518 1040  4  1 94  0  0
 1  0  24576 215556 140604 231356    0    0     0    20  512 1015  4  1 95  0  0
 0  0  24576 215556 140620 231364    0    0     0   224  477 1031  3  1 96  1  0
 2  0  24576 215592 140628 231364    0    0     0    20  558 1161  4  0 95  0  0
 0  0  24576 215712 140628 231364    0    0     0     0  596 1174  3  1 96  0  0
 1  0  24576 215712 140628 231364    0    0     0     0  529 1117  3  1 96  0  0
 1  0  24576 215712 140640 231360    0    0     0    36  654 1187  5  2 93  1  0
 0  0  24576 215712 140640 231364    0    0     0    16  622 1238  5  1 95  0  0
 0  0  24576 215776 140644 231368    0    0     0    56 1121 1894 35  3 62  1  0
 1  0  24576 215776 140660 231352    0    0     0   360  603 1176  4  0 95  1  0
 0  0  24576 215776 140676 231368    0    0     0    36  545 1143  5  0 95  0  0
 0  0  24576 215776 140680 231364    0    0     4    24  546 1158  4  2 94  0  0
 0  0  24576 215776 140688 231372    0    0     0   272  500 1103  3  1 96  1  0
 0  0  24576 215480 140688 231372    0    0     0    20  550 1170  3  1 95  0  0
 0  0  24576 215560 140688 231372    0    0     0     0  494  981  2  1 97  0  0
 0  0  24576 215560 140688 231372    0    0     0     0  519  973  3  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  24576 215560 140696 231368    0    0     0    40  586 1125  4  1 94  1  0
 0  0  24576 215592 140700 231368    0    0     0    32  610 1090  5  1 94  0  0
 0  0  24576 215432 140708 231364    0    0     4    32  790 1390 12  2 86  0  0
 0  0  24576 215464 140716 231380    0    0     0    20  616 1208  4  1 96  0  0
 0  0  24576 215464 140720 231380    0    0     0    20  599 1182  4  1 95  1  0
 0  0  24576 215464 140728 231372    0    0     0    20  585 1174  4  1 94  0  0
 0  0  24576 215464 140736 231380    0    0     0   744  627 1303  3  1 96  1  0
 0  0  24576 215424 140744 231380    0    0     0    20  625 1300  3  1 96  0  0
 0  0  24576 215464 140744 231380    0    0     0     0  510 1135  3  1 96  0  0
 0  0  24576 215464 140744 231380    0    0     0     0  546 1197  3  0 97  0  0
 2  0  24576 215464 140744 231380    0    0     0     0  526 1135  4  1 96  0  0
 1  0  24576 215464 140760 231380    0    0     0   160  605 1241  3  1 96  1  0
 0  0  24576 215464 140776 231364    0    0     0   224  552 1153  3  1 97  0  0
 0  0  24576 215464 140784 231380    0    0     0    20  524 1056  3  1 97  1  0
 0  0  24576 215496 140792 231380    0    0     0    20  534 1091  4  0 96  0  0
 0  0  24576 215496 140800 231372    0    0     4    24  569 1189  4  1 95  0  0
 0  0  24576 215496 140816 231368    0    0     0   288  552 1176  2  1 97  1  0
 0  0  24576 215316 140824 231384    0    0     0    20  578 1167  4  1 96  0  0
