procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15884 216496 170800 293120    0    1    18    91  354  687 16  2 82  0  0
 0  0  15884 216900 170808 293116    0    0     0    68  575 1094  4  0 96  1  0
 0  0  15884 216900 170808 293124    0    0     0   208  537 1083  3  1 97  0  0
 0  0  15884 216900 170820 293124    0    0     0   256  537 1070  3  1 96  0  0
 0  0  15884 216900 170828 293124    0    0     0    20  468 1096  4  1 95  1  0
 3  0  15884 216900 170836 293124    0    0     0    20  493 1108  2  0 98  0  0
 0  0  15884 216900 170856 293124    0    0     0   176  487 1109  2  0 98  0  0
 0  0  15884 216900 170856 293124    0    0     0   296  482 1056  3  1 96  1  0
 0  0  15884 216900 170856 293124    0    0     0     0  456 1036  1  1 98  0  0
 0  0  15884 216932 170864 293128    0    0     4    60  536 1107  4  0 95  1  0
 0  0  15884 216800 170876 293128    0    0     0   176  565 1192  3  1 96  1  0
 0  0  15884 216808 170884 293120    0    0     0    20  514 1094  4  1 96  0  0
 0  0  15884 216808 170884 293128    0    0     0     0  538 1040  1  2 98  0  0
 1  0  15884 216808 170896 293128    0    0     0   176  519 1098  3  0 97  1  0
 0  0  15884 216808 170904 293120    0    0     0    20  520 1064  4  0 96  0  0
 4  0  15884 216808 170904 293128    0    0     0    20  577 1080  3  1 96  1  0
 0  0  15884 216808 170904 293128    0    0     0     0  493 1007  2  0 98  0  0
 0  0  15884 216808 170916 293128    0    0     0   276  535 1157  3  1 96  0  0
 1  0  15884 216808 170916 293128    0    0     0     0  465 1069  3  0 97  0  0
 1  0  15884 216808 170924 293128    0    0     0    20  531 1102  3  1 96  1  0
 1  0  15884 216544 170940 293128    0    0     0   172  664 1337  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  15884 216560 170944 293124    0    0     0    20  657 1140  4  1 94  0  0
 0  0  15884 216560 170944 293132    0    0     0     0  594 1051  3  1 97  0  0
 0  0  15884 216560 170968 293132    0    0     0   240  468 1062  3  0 97  1  0
 3  0  15884 216560 170976 293124    0    0     0    20  490 1075  4  0 96  0  0
 1  0  15884 216560 170988 293132    0    0     0    36  663 1345  6  1 93  0  0
 0  0  15884 216560 170988 293132    0    0     0     0  595 1099  3  0 97  0  0
 0  0  15884 216560 171004 293132    0    0     0   340  566 1208  2  1 97  1  0
 0  0  15884 216560 171012 293132    0    0     0    32  634 1182  4  1 95  0  0
 0  0  15884 216560 171016 293132    0    0     0    36  604 1227  4  0 95  1  0
 0  0  15884 216560 171024 293132    0    0     0   276  485 1147  1  1 98  1  0
 0  0  15884 216468 171024 293132    0    0     0    20  566 1067  4  1 96  1  0
 0  0  15884 216468 171024 293132    0    0     0     0  577 1005  4  1 96  0  0
 0  0  15884 216468 171028 293132    0    0     0   184  580 1008  3  0 97  0  0
 0  0  15884 216468 171028 293132    0    0     0    20  535 1046  4  1 96  0  0
 0  0  15884 216468 171028 293132    0    0     0     0  593 1191  3  1 96  0  0
 1  0  15884 216468 171028 293132    0    0     0     0  645 1183  7  1 93  0  0
 0  0  15884 216500 171028 293132    0    0     0     0  688 1240  7  2 92  0  0
 0  0  15884 216500 171040 293132    0    0     0   252  501 1120  3  1 97  0  0
 0  0  15884 216500 171048 293136    0    0     4    24  585 1113  4  1 95  1  0
 0  0  15884 216500 171060 293136    0    0     0   176  565 1133  2  1 97  1  0
 0  0  15884 216532 171068 293136    0    0     0    20  620 1149  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  15884 216532 171068 293136    0    0     0     0  549 1098  3  1 97  0  0
 0  0  15884 216532 171084 293136    0    0     0   176  523 1126  3  1 96  1  0
 0  0  15884 216532 171084 293136    0    0     0    20  543 1078  3  0 97  0  0
 0  0  15884 216532 171084 293140    0    0     0    20  555 1086  4  1 95  0  0
 0  0  15884 216532 171084 293140    0    0     0     0  458 1060  2  1 97  0  0
 0  0  15884 216532 171096 293144    0    0     0   276  529 1161  3  1 96  1  0
 0  0  15884 216532 171096 293144    0    0     0     0  494 1075  2  1 97  0  0
 0  0  15884 216532 171100 293144    0    0     0    20  562 1108  3  1 96  0  0
 0  0  15884 216532 171112 293144    0    0     0   240  590 1152  2  1 97  1  0
 0  0  15884 216532 171112 293144    0    0     0    20  555 1185  3  1 95  1  0
 0  0  15884 216532 171112 293144    0    0     0     0  601 1112  3  1 97  0  0
 0  0  15884 216532 171132 293144    0    0     0   176  462 1062  2  1 97  1  0
 1  0  15884 216532 171136 293140    0    0     0    20  497 1081  3  1 96  0  0
 1  0  15884 216532 171144 293144    0    0     0    36  602 1153  4  2 94  0  0
 0  0  15884 216532 171144 293144    0    0     0     0  548 1170  2  1 97  0  0
 0  0  15884 216532 171152 293144    0    0     0   340  558 1195  2  1 97  1  0
 0  0  15884 216532 171164 293148    0    0     4   128  674 1276  6  0 94  1  0
 0  0  15884 216532 171180 293148    0    0     0    76  636 1219  5  0 95  0  0
