procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  37132 209240 147540 207252    0    1    14    88  344  673 14  2 84  0  0
 0  0  37132 209684 147544 207320    0    0     4    72  577 1208  4  1 96  0  0
 0  0  37132 209684 147544 207328    0    0     0     0  506 1151  3  1 97  0  0
 1  0  37132 209684 147572 207312    0    0     0   372  562 1246  4  1 95  1  0
 2  0  37132 209716 147584 207328    0    0     0    96  598 1214  3  1 97  0  0
 0  0  37132 209560 147608 207320    0    0     0  3356  661 1386  2  2 96  1  0
 0  0  37132 209560 147608 207328    0    0     0     0  498 1053  4  1 95  0  0
 0  0  37132 209560 147616 207320    0    0     0    20  551 1146  4  0 95  1  0
 1  0  37132 209284 147620 207332    0    0     4   324  668 1334  5  1 94  1  0
 0  0  37132 209284 147620 207332    0    0     0     0  540 1121  3  1 97  0  0
 0  0  37132 209284 147640 207332    0    0     0   356  592 1087  3  0 96  1  0
 0  0  37132 209284 147644 207328    0    0     0    20  526 1129  4  0 96  0  0
 1  0  37132 209284 147644 207332    0    0     0     0  443 1056  2  1 97  0  0
 0  0  37132 209284 147664 207324    0    0     0   192  519 1157  4  0 95  1  0
 0  0  37132 209284 147664 207332    0    0     0     0  573 1209  3  1 96  0  0
 0  0  37132 209284 147684 207328    0    0     0   176  552 1177  4  0 96  1  0
 0  0  37132 209284 147688 207332    0    0     0    20  558 1155  5  1 94  0  0
 0  0  37132 209284 147696 207324    0    0     0    20  570 1107  3  0 97  0  0
 0  0  37132 209408 147712 207332    0    0     0    36  643 1240  3  1 96  0  0
 3  0  37132 209408 147716 207328    0    0     0    20  612 1142  4  1 95  1  0
 0  0  37132 209408 147716 207332    0    0     0     0  565 1124  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  37132 209408 147740 207316    0    0     0   484  572 1224  5  0 94  1  0
 0  0  37132 209408 147740 207332    0    0     0     0  564 1218  2  1 97  0  0
 0  0  37132 209408 147768 207316    0    0     0   192  631 1263  4  0 95  1  0
 0  0  37132 209408 147768 207332    0    0     0     0  588 1234  3  1 96  0  0
 0  0  37132 209408 147784 207324    0    0     0   176  659 1268  6  2 92  1  0
 0  0  37132 209472 147784 207332    0    0     0     0  739 1350  9  1 91  0  0
 0  0  37132 209472 147784 207332    0    0     0     0  526 1042  2  1 96  0  0
 0  0  37132 209348 147800 207332    0    0     0    44  584 1182  4  1 95  1  0
 0  0  37132 209348 147800 207332    0    0     0    12  561 1162  3  1 97  0  0
 2  0  37132 209348 147820 207332    0    0     0   252  641 1312  5  0 94  1  1
 0  0  37132 209348 147836 207316    0    0     0    36  680 1347  3  1 96  0  0
 0  0  37132 209348 147836 207332    0    0     0     0  599 1244  2  1 97  0  0
 0  0  37132 209380 147864 207320    0    0     4   260  590 1246  5  1 95  1  0
 0  0  37132 209380 147864 207336    0    0     0    60  583 1132  4  0 96  0  0
 0  0  37132 209380 147884 207332    0    0     0   248  603 1201  2  1 97  1  0
 0  0  37132 209380 147884 207336    0    0     0     0  527 1055  5  1 95  0  0
 0  0  37132 209380 147888 207332    0    0     0    20  497 1113  5  0 94  1  0
 0  0  37132 209256 147904 207336    0    0     0    36  551 1207  4  1 96  0  0
 0  0  37132 209256 147904 207336    0    0     0     0  510 1100  2  1 97  0  0
 0  0  37132 209256 147924 207336    0    0     0   404  533 1179  4  1 95  1  0
 0  0  37132 209256 147940 207320    0    0     0    36  535 1139  4  1 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  37132 209256 147940 207336    0    0     0     0  553 1200  3  0 97  0  0
 0  0  37132 209256 147956 207344    0    0     0   256  563 1230  3  1 96  1  0
 0  0  37132 209256 147956 207352    0    0     0     0  522 1115  2  1 97  0  0
 0  0  37132 209256 147980 207348    0    0     0   176  579 1243  2  1 97  1  0
 0  0  37132 209256 147988 207356    0    0     0    20  586 1227  4  1 95  1  0
 0  0  37132 209256 147996 207348    0    0     0    20  630 1275  4  1 95  0  0
 0  0  37132 209132 148004 207356    0    0     4    40  571 1224  4  1 95  0  0
 0  0  37132 209132 148012 207352    0    0     0    20  596 1204  4  1 95  1  0
 0  0  37132 209132 148012 207360    0    0     0     0  586 1156  2  1 97  0  0
 0  0  37132 209132 148044 207344    0    0     0   548  535 1178  3  2 95  1  0
 0  0  37132 209132 148044 207360    0    0     0     0  457 1055  2  1 96  0  0
 0  0  37132 209132 148072 207348    0    0     0   192  637 1311  4  0 95  1  0
 0  0  37132 209164 148072 207360    0    0     0     0  574 1178  4  0 96  0  0
 0  0  37132 209164 148092 207356    0    0     0   176  550 1174  2  1 97  1  0
 0  0  37132 209164 148092 207360    0    0     0     0  615 1217  4  0 96  0  0
 0  0  37132 209164 148092 207360    0    0     0     0  588 1267  2  1 98  0  0
 0  0  37132 209164 148104 207348    0    0     0    36  613 1352  2  1 96  1  0
 0  0  37132 209164 148104 207360    0    0     0     0  447 1068  3  0 97  0  0
