procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18700 222892 163208 289552    0    1    17    90  352  683 16  2 82  0  0
 0  0  18700 223076 163212 289552    0    0     0   332  629 1295  3  1 96  0  0
 0  0  18700 223076 163212 289556    0    0     0    20  565 1204  4  1 96  1  0
 0  0  18700 222820 163212 289556    0    0     0     0  567 1224  3  1 96  0  0
 0  0  18700 222828 163216 289556    0    0     0    20  544 1124  4  1 95  0  0
 0  0  18700 222828 163224 289548    0    0     0   160  528 1176  3  1 96  1  0
 0  0  18700 222828 163228 289556    0    0     0    36  573 1079  4  1 95  0  0
 1  0  18700 222828 163228 289556    0    0     0   112  499 1082  3  0 96  1  0
 0  0  18700 222828 163228 289556    0    0     0    68  417 1018  4  1 96  0  0
 0  0  18700 222828 163236 289548    0    0     0    80  578 1174  6  1 93  1  0
 1  0  18700 222828 163240 289560    0    0     4    80  697 1347  5  1 95  0  0
 2  0  18700 222828 163240 289560    0    0     0    16  587 1167  3  1 96  0  0
 0  0  18700 222796 163256 289560    0    0     0  2716  662 1312  4  2 94  1  0
 0  1  18700 222796 163260 289556    0    0     0    80  550 1131  3  1 96  0  0
 0  0  18700 222796 163276 289560    0    0     0   116  767 1475  5  2 93  0  0
 0  1  18700 222796 163276 289560    0    0     0    64  554 1146  3  0 96  1  0
 0  0  18700 222796 163292 289544    0    0     0   312  548 1203  3  1 96  0  0
 1  1  18700 222796 163292 289560    0    0     0    96  537 1167  2  0 97  1  0
 0  0  18700 222796 163300 289560    0    0     0   144  531 1218  3  1 96  0  0
 0  0  18700 222796 163300 289560    0    0     0    20  531 1193  3  0 97  1  0
 0  1  18700 222796 163300 289560    0    0     0    64  509 1120  3  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18700 222796 163304 289560    0    0     0   112  546 1135  3  1 96  0  0
 0  0  18700 222796 163304 289560    0    0     0     0  505 1091  2  1 97  0  0
 0  0  18700 222828 163304 289560    0    0     0     0  550 1109  5  0 95  0  0
 0  0  18700 222580 163312 289560    0    0     0    20  598 1252  3  2 95  1  0
 0  1  18700 222580 163312 289560    0    0     0    64  554 1168  3  0 97  0  0
 0  0  18700 222580 163340 289560    0    0     4   176  617 1245  3  2 95  1  0
 0  1  18700 222580 163340 289560    0    0     0    64  591 1190  3  1 97  0  0
 0  0  18700 222580 163340 289560    0    0     0   112  558 1194  2  0 98  1  0
 0  0  18700 222580 163340 289560    0    0     0    20  656 1232  4  1 95  1  0
 1  0  18700 222580 163348 289560    0    0     0    20  633 1261  5  1 95  0  0
 2  0  18700 222580 163348 289560    0    0     0     4  612 1249  3  0 97  0  0
 0  0  18700 222612 163356 289560    0    0     0   280  671 1352  2  1 97  0  0
 0  0  18700 222612 163356 289560    0    0     0     0  583 1224  2  1 97  0  0
 0  0  18700 222736 163356 289560    0    0     0    20  545 1201  4  2 95  1  0
 1  0  18700 222768 163356 289560    0    0     0     0  596 1138  8  0 92  0  0
 0  0  18700 222800 163364 289560    0    0     0    28  644 1156  8  1 91  0  0
 0  0  18700 222800 163364 289560    0    0     0     0  493 1068  3  0 97  0  0
 0  0  18700 222800 163380 289560    0    0     0   240  532 1106  4  0 94  1  0
 0  0  18700 222800 163392 289548    0    0     4    40  589 1162  5  0 95  0  0
 0  0  18700 222800 163396 289564    0    0     0    20  587 1140  4  1 94  0  0
 0  0  18700 222608 163396 289564    0    0     0     0  584 1166  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  18700 222608 163420 289564    0    0     0   356  593 1247  4  1 95  1  0
 0  0  18700 222608 163420 289564    0    0     0     0  571 1164  2  1 98  0  0
 0  0  18700 222484 163444 289564    0    0     0   176  682 1403  6  1 93  0  0
 0  0  18700 222484 163452 289568    0    0     0    20  562 1188  2  0 98  1  0
 0  0  18700 222484 163472 289568    0    0     0   256  605 1251  6  0 93  0  0
 1  0  18700 222484 163472 289568    0    0     0    52  556 1115  3  0 97  0  0
 0  0  18700 222484 163488 289568    0    0     0   172  510 1170  2  2 96  0  0
 0  0  18700 222484 163488 289568    0    0     0    20  544 1162  4  1 95  1  0
 0  0  18700 222484 163488 289568    0    0     0     0  491 1116  2  1 97  0  0
 1  0  18700 222484 163496 289568    0    0     0   160  569 1277  5  1 95  0  0
 0  0  18700 222484 163500 289568    0    0     0    20  521 1195  3  1 96  1  0
 0  0  18700 222484 163500 289568    0    0     0     0  557 1057  3  1 97  0  0
 0  0  18700 222484 163508 289568    0    0     0    20  611 1207  5  1 95  1  0
 1  0  18700 222484 163508 289568    0    0     0     0  543 1139  4  1 96  0  0
 0  0  18700 222516 163536 289568    0    0     0   192  554 1195  3  1 96  1  1
 0  0  18700 222516 163536 289568    0    0     0     0  579 1017  3  1 96  0  0
 0  0  18700 222516 163540 289568    0    0     0   176  480 1058  3  1 96  1  0
 0  0  18700 222516 163548 289568    0    0     0    20  596 1124  3  1 96  0  0
