dimension,birth,death
2,0.0015177830105549042,0.0016059823047101754
2,0.0007632440956420721,0.000804743754390958
2,0.0009791460843081056,0.0010159544129721238
2,0.0010396263319169495,0.001043855961229178
2,0.0004438837973510194,0.00044496144835960374
2,0.0005961006435497593,0.0005961946702626788
1,0.004568288482725868,0.004970820152695714
1,0.0009795862049324538,0.0013631442575240665
1,0.0005249245895789592,0.0007672079429420879
1,0.0006183427605799182,0.0008432408318332196
1,0.000745980979775841,0.0009514946381474562
1,0.0009195321327132699,0.0010884041274150105
1,0.00046234568646915135,0.0006239968851834035
1,0.0003280733065382052,0.0004613432536118762
1,0.00040727175816622854,0.0005248333433070943
1,0.0009247086373659744,0.00102829331755938
1,0.00032656132755477655,0.00042672020332518737
1,0.000359244124644091,0.00045724172536495115
1,0.0006662152062334841,0.0007549580051335186
1,0.0007174654263926403,0.0008027087306450274
1,0.00039779302913046124,0.0004760576155328699
1,0.00036344130225077274,0.0004396557200175635
1,0.00039871500745898683,0.0004736369679031583
1,0.00032297290270166736,0.00039678844893921265
1,0.0006611155636650342,0.0007324835164391693
1,0.00033728686649323514,0.00040142847156769706
1,0.0003756241618367378,0.0004387106136148126
1,0.0004630012760401517,0.000525350195964666
1,0.0004968317665961355,0.000558662991429511
1,0.000696189397954612,0.0007570063977739798
1,0.0012281880003102185,0.0012857228999564915
1,0.00032049189420803895,0.00037651562575639517
1,0.00107216312080878,0.001127637244665482
1,0.0004186756388858874,0.0004736369679031583
1,0.0005902875141941069,0.0006425012652099555
1,0.000765061669385418,0.0008150333495093803
1,0.0005027728782958038,0.0005523693724932567
1,0.0008486757945409151,0.0008963220872828757
1,0.00033643381417927437,0.0003830729882328456
1,0.00024958596168131485,0.0002953465260931441
1,0.0004749160694277533,0.0005182213913186275
1,0.0002891188052805392,0.0003257291981099611
1,0.0009090907002266365,0.000945468944163308
1,0.0003331914625424886,0.0003685014582812992
1,0.00035346502188306195,0.00038746531530182743
1,0.0003042395199642437,0.0003375707382227698
1,0.0003451007756314777,0.00037651562575639517
1,0.00044735882947147135,0.00047766456564052773
