componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
40,cube543_cluster0,67,MVIE,100.0
40,cube632_cluster0,101,MVIE,100.0
40,cube549_cluster0,59,MVIE,100.0
40,cube770_cluster0,285,MVIE,100.0
40,cube771_cluster0,86,MVIE,100.0
40,cube711_cluster0,158,MVIE,100.0
40,cube385_cluster0,56,MVIE,100.0
40,cube384_cluster0,55,MVIE,100.0
40,cube710_cluster0,82,MVIE,100.0
40,cube544_cluster0,64,MVIE,100.0
40,cube635_cluster0,60,MVIE,100.0
40,cube550_cluster0,32,MVIE,100.0
40,cube467_cluster0,27,MVIE,100.0
40,cube769_cluster0,58,MVIE,100.0
40,cube712_cluster0,42,MVIE,100.0
40,cube631_cluster0,82,MVIE,100.0
40,cube767_cluster0,116,MVIE,100.0
40,cube768_cluster0,28,MVIE,100.0
40,cube545_cluster0,32,MVIE,100.0
40,cube636_cluster0,37,MVIE,100.0
41,cube399_cluster0,56,WVIV,100.0
42,cube570_cluster0,59,WVIV,100.0
42,cube483_cluster0,176,WVIV,100.0
42,cube484_cluster0,116,WVIV,100.0
42,cube402_cluster0,59,WVIV,100.0
43,cube486_cluster0,104,WVIV,100.0
43,cube487_cluster0,56,WVIV,100.0
43,cube404_cluster0,114,WVIV,100.0
43,cube405_cluster0,56,WVIV,100.0
44,cube493_cluster0,54,WLEC,100.0
44,cube492_cluster0,81,WLEC,100.0
44,cube411_cluster0,57,WLEC,100.0
44,cube495_cluster0,54,WLEC,100.0
44,cube413_cluster0,41,WLEC,100.0
44,cube409_cluster0,68,WLEC,100.0
44,cube494_cluster0,110,WLEC,100.0
44,cube412_cluster0,117,WLEC,100.0
44,cube410_cluster0,41,WLEC,100.0
45,cube416_cluster0,59,WLEC,100.0
45,cube496_cluster0,58,WLEC,100.0
46,cube421_cluster0,168,WLEC,100.0
46,cube419_cluster0,111,WLEC,100.0
46,cube420_cluster0,57,WLEC,100.0
47,cube502_cluster0,57,WLEC,100.0
47,cube431_cluster0,60,WLEC,100.0
47,cube429_cluster0,114,WLEC,100.0
47,cube430_cluster0,227,WLEC,100.0
47,cube503_cluster0,168,WLEC,100.0
48,cube515_cluster0,59,MRS,100.0
48,cube441_cluster0,53,MRS,100.0
49,cube448_cluster0,114,MSFC,100.0
49,cube531_cluster0,53,MSFC,100.0
49,cube523_cluster0,53,MSFC,100.0
49,cube455_cluster0,114,MSFC,100.0
50,cube468_cluster0,114,MVIE,100.0
51,cube557_cluster0,42,MVIE,100.0
51,cube473_cluster0,60,MVIE,100.0
51,cube474_cluster0,65,MVIE,100.0
51,cube558_cluster0,162,MVIV,74.07
52,cube504_cluster0,56,WLEC,100.0
52,cube497_cluster0,56,WLEC,100.0
53,cube604_cluster0,50,MRS,100.0
53,cube684_cluster0,86,MRS,100.0
53,cube743_cluster0,173,MRS,100.0
53,cube680_cluster0,31,MRS,100.0
53,cube601_cluster0,30,MRS,100.0
53,cube600_cluster0,39,MRS,100.0
53,cube742_cluster0,54,MRS,100.0
53,cube603_cluster0,171,MRS,100.0
53,cube683_cluster0,32,MRS,100.0
53,cube682_cluster0,54,MRS,100.0
53,cube681_cluster0,259,MRS,100.0
53,cube599_cluster0,13,MRS,100.0
53,cube512_cluster0,66,MRS,100.0
54,cube518_cluster0,116,MRS,100.0
54,cube609_cluster0,54,MRS,100.0
54,cube608_cluster0,113,MRS,100.0
54,cube607_cluster0,58,MRS,100.0
54,cube520_cluster0,116,MRS,100.0
54,cube690_cluster0,101,MRS,100.0
55,cube752_cluster0,39,MSFC,100.0
55,cube699_cluster0,167,MSFC,100.0
55,cube760_cluster0,39,MSFC,100.0
55,cube696_cluster0,246,MSFC,100.0
55,cube758_cluster0,450,MSFC,100.0
55,cube824_cluster0,223,MSFC,100.0
55,cube525_cluster0,60,MSFC,100.0
55,cube530_cluster0,70,MSFC,100.0
55,cube757_cluster0,301,MSFC,100.0
55,cube694_cluster0,66,MSFC,100.0
55,cube622_cluster0,62,MSFC,100.0
55,cube612_cluster0,115,MSFC,100.0
55,cube536_cluster0,69,MSFC,100.0
55,cube823_cluster0,162,MSFC,100.0
