archivo_b,dimension,distancia
componente_1.csv,0,0
componente_1.csv,1,0
componente_1.csv,2,0
componente_14.csv,0,0.29351079520181195
componente_14.csv,1,0.066630455
componente_14.csv,2,0.007324377
componente_5.csv,0,0.17148314625641786
componente_5.csv,1,0.049705102
componente_5.csv,2,0.007326019
componente_7.csv,0,0.27966890129222444
componente_7.csv,1,0.061985602
componente_7.csv,2,0.007323889
componente_8.csv,0,0.24021095353875938
componente_8.csv,1,0.059159839840892056
componente_8.csv,2,0.007322308
componente_1.csv,0,0.29351079520181167
componente_1.csv,1,0.066630455
componente_1.csv,2,0.007324377
componente_14.csv,0,0
componente_14.csv,1,0
componente_14.csv,2,0
componente_5.csv,0,0.18382443444765445
componente_5.csv,1,0.035182668
componente_5.csv,2,0.000355387
componente_7.csv,0,0.053653075
componente_7.csv,1,0.009597513
componente_7.csv,2,0.000116619
componente_8.csv,0,0.1205883205372724
componente_8.csv,1,0.015468710353484542
componente_8.csv,2,0.000189341
componente_1.csv,0,0.17148314625641795
componente_1.csv,1,0.049705102
componente_1.csv,2,0.007326019
componente_14.csv,0,0.18382443444765445
componente_14.csv,1,0.035182668
componente_14.csv,2,0.000355387
componente_5.csv,0,0
componente_5.csv,1,0
componente_5.csv,2,0
componente_7.csv,0,0.16306484921650038
componente_7.csv,1,0.033118786964500976
componente_7.csv,2,0.000381182
componente_8.csv,0,0.10375035831263431
componente_8.csv,1,0.033729858
componente_8.csv,2,0.000376098
componente_1.csv,0,0.2796689012922244
componente_1.csv,1,0.061985602360548224
componente_1.csv,2,0.007323889
componente_14.csv,0,0.053653075
componente_14.csv,1,0.009597513
componente_14.csv,2,0.000116619
componente_5.csv,0,0.16306484921650036
componente_5.csv,1,0.033118786964500976
componente_5.csv,2,0.000381182
componente_7.csv,0,0
componente_7.csv,1,0
componente_7.csv,2,0
componente_8.csv,0,0.092872624
componente_8.csv,1,0.015698696
componente_8.csv,2,0.000178606
componente_1.csv,0,0.24021095353875874
componente_1.csv,1,0.059159839840892056
componente_1.csv,2,0.007322308
componente_14.csv,0,0.12058832053727261
componente_14.csv,1,0.015468710353484546
componente_14.csv,2,0.000189341
