prefijo,porcentaje_a,archivo_a,porcentaje_b,archivo_b,dimension,distancia
MCEFL,10,persistencia_MCEFL_componente_1.csv,10,persistencia_MCEFL_componente_1.csv,0,0.0
MCEFL,10,persistencia_MCEFL_componente_1.csv,10,persistencia_MCEFL_componente_1.csv,1,0.0
MCEFL,10,persistencia_MCEFL_componente_1.csv,10,persistencia_MCEFL_componente_1.csv,2,0.0
MCEFL,10,persistencia_MCEFL_componente_1.csv,10,persistencia_MCEFL_componente_8.csv,0,0.24137723
MCEFL,10,persistencia_MCEFL_componente_1.csv,10,persistencia_MCEFL_componente_8.csv,1,0.027431974
MCEFL,10,persistencia_MCEFL_componente_1.csv,20,persistencia_MCEFL_componente_1.csv,0,0.05292858
MCEFL,10,persistencia_MCEFL_componente_1.csv,20,persistencia_MCEFL_componente_1.csv,1,0.013635192
MCEFL,10,persistencia_MCEFL_componente_1.csv,20,persistencia_MCEFL_componente_1.csv,2,0.00024624352
MCEFL,10,persistencia_MCEFL_componente_1.csv,20,persistencia_MCEFL_componente_7.csv,0,0.2405079
MCEFL,10,persistencia_MCEFL_componente_1.csv,20,persistencia_MCEFL_componente_7.csv,1,0.027450945
MCEFL,10,persistencia_MCEFL_componente_1.csv,20,persistencia_MCEFL_componente_7.csv,2,6.897805e-05
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_10.csv,0,0.23976135
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_10.csv,1,0.027448336
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_10.csv,2,0.00013148638
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_1.csv,0,0.17591022
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_1.csv,1,0.028196143
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_1.csv,2,0.0018702707
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_3.csv,0,0.23497286
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_3.csv,1,0.027443409
MCEFL,10,persistencia_MCEFL_componente_1.csv,30,persistencia_MCEFL_componente_3.csv,2,8.3249535e-05
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_10.csv,0,0.24175936
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_10.csv,1,0.02708716
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_10.csv,2,0.00014513648
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_1.csv,0,0.17432703
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_1.csv,1,0.028531127
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_1.csv,2,0.00094853825
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_3.csv,0,0.233782
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_3.csv,1,0.027451904
MCEFL,10,persistencia_MCEFL_componente_1.csv,40,persistencia_MCEFL_componente_3.csv,2,8.752004e-05
