componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
0,cube1_cluster0,51,MVIE,100.0
0,cube0_cluster0,57,MVIE,100.0
1,cube4_cluster0,57,MVIE,100.0
1,cube7_cluster0,58,MVIE,100.0
2,cube6_cluster0,58,MVIE,100.0
3,cube14_cluster0,57,MSC,100.0
4,cube16_cluster0,55,WVIV,100.0
5,cube20_cluster0,60,WVIV,100.0
6,cube24_cluster0,54,MVIE,100.0
6,cube25_cluster0,54,MVIE,100.0
7,cube26_cluster0,58,MVIE,100.0
8,cube43_cluster0,13,MRS,100.0
8,cube27_cluster0,49,MRS,100.0
8,cube41_cluster0,172,MRS,100.0
8,cube62_cluster0,118,MRS,100.0
8,cube63_cluster0,54,MRS,100.0
8,cube28_cluster0,105,MRS,100.0
8,cube42_cluster0,237,MRS,100.0
8,cube29_cluster0,165,MRS,100.0
9,cube31_cluster0,63,WVIV,100.0
10,cube48_cluster0,57,WLEC,100.0
10,cube34_cluster0,50,WLEC,100.0
10,cube33_cluster0,50,WLEC,100.0
10,cube47_cluster0,57,WLEC,100.0
11,cube59_cluster0,57,MRS,100.0
11,cube38_cluster0,36,MRS,100.0
11,cube58_cluster0,43,MRS,100.0
11,cube39_cluster0,109,MRS,100.0
12,cube67_cluster0,172,MSFC,100.0
12,cube65_cluster0,172,MSFC,100.0
12,cube66_cluster0,63,MSFC,100.0
12,cube46_cluster0,57,MSFC,100.0
12,cube45_cluster0,57,MSFC,100.0
12,cube94_cluster0,58,MSFC,100.0
12,cube93_cluster0,61,MSFC,100.0
12,cube64_cluster0,63,MSFC,100.0
13,cube49_cluster0,55,WLEC,100.0
13,cube76_cluster0,40,WLEC,100.0
14,cube51_cluster0,22,MVIE,100.0
14,cube110_cluster0,18,MVIE,100.0
14,cube80_cluster0,17,MVIE,100.0
14,cube52_cluster0,54,MVIE,100.0
14,cube82_cluster0,34,MVIE,100.0
14,cube111_cluster0,54,MVIE,100.0
14,cube81_cluster0,76,MVIE,100.0
15,cube74_cluster0,47,WLEC,100.0
15,cube73_cluster0,55,WLEC,100.0
16,cube101_cluster0,57,WLEC,100.0
16,cube75_cluster0,57,WLEC,100.0
17,cube79_cluster0,35,WLEC,100.0
17,cube78_cluster0,56,WLEC,100.0
18,cube84_cluster0,16,MRS,100.0
18,cube85_cluster0,62,MRS,100.0
18,cube91_cluster0,61,MRS,100.0
19,cube122_cluster0,115,WLEC,100.0
19,cube97_cluster0,18,WLEC,100.0
19,cube124_cluster0,57,WLEC,100.0
20,cube106_cluster0,40,WLEC,100.0
20,cube127_cluster0,113,WLEC,100.0
20,cube105_cluster0,115,WLEC,100.0
20,cube129_cluster0,54,WLEC,100.0
20,cube128_cluster0,168,WLEC,100.0
20,cube104_cluster0,55,WLEC,100.0
21,cube107_cluster0,112,WLEC,100.0
21,cube131_cluster0,55,WLEC,100.0
21,cube108_cluster0,83,WLEC,100.0
22,cube145_cluster0,62,WLEC,100.0
22,cube161_cluster0,13,WLEC,100.0
22,cube141_cluster0,66,WLEC,100.0
22,cube146_cluster0,57,WLEC,100.0
22,cube142_cluster0,58,WLEC,100.0
22,cube158_cluster0,13,WLEC,100.0
23,cube150_cluster0,56,WLEC,100.0
24,cube153_cluster0,60,WLEC,100.0
24,cube168_cluster0,112,WLEC,100.0
24,cube167_cluster0,61,WLEC,100.0
24,cube152_cluster0,64,WLEC,100.0
25,cube176_cluster0,58,WLEC,100.0
26,cube185_cluster0,54,WIDS,100.0
26,cube184_cluster0,40,WIDS,100.0
27,cube191_cluster0,16,WIDS,100.0
27,cube188_cluster0,58,WIDS,100.0
28,cube193_cluster0,56,WVAL,100.0
28,cube194_cluster0,58,WVAL,100.0
28,cube189_cluster0,22,WVAL,100.0
29,cube202_cluster0,58,MVIV,100.0
29,cube195_cluster0,57,MVIV,100.0
30,cube201_cluster0,58,MVIV,100.0
31,cube211_cluster0,60,MIA,100.0
31,cube212_cluster0,60,MIA,100.0
31,cube213_cluster0,60,MIA,100.0
31,cube210_cluster0,60,MIA,100.0
32,cube214_cluster0,56,WVAE,100.0
33,cube221_cluster0,60,WVAE,100.0
33,cube223_cluster0,54,WVAE,100.0
33,cube220_cluster0,55,WVAE,100.0
33,cube217_cluster0,50,WVAE,100.0
34,cube227_cluster0,60,WSUT,100.0
34,cube226_cluster0,60,WSUT,100.0
