ID,FAULT_TYPE,CODE LINE,TRANSFORMED CODE,FILE,UNIT TEST LOG,FUNCTIONAL TEST LOG,INTEGRATION TEST LOG,UNIT TEST RESULT,UNIT RATIO,FUNCTIONAL TEST RESULT,FUNCTIONAL TEST RATIO,INTEGRATION TEST RESULT,INTEGRATION TEST RATIO,UNIT TEST TOTAL RESULTS,FUNCTIONAL TEST TOTAL RESULTS,INTEGRATION TEST TOTAL RESULTS
1,MPFC,87,MPFC_87_transformed_code_1.py,resources/api.py,07032025123248_unit_result_87,07032025123248_functional_result_87,,True,0/0,True,0/0,False,NA,,,NA
2,MPFC,89,MPFC_89_transformed_code_2.py,resources/api.py,07032025123257_unit_result_89,07032025123257_functional_result_89,,True,0/0,True,0/0,False,NA,,,NA
3,MPFC,123,MPFC_123_transformed_code_3.py,resources/api.py,07032025123311_unit_result_123,07032025123311_functional_result_123,,True,0/0,True,0/0,False,NA,,,NA
4,MPFC,124,MPFC_124_transformed_code_4.py,resources/api.py,07032025123320_unit_result_124,07032025123320_functional_result_124,,True,0/0,True,0/0,False,NA,,,NA
5,MPFC,125,MPFC_125_transformed_code_5.py,resources/api.py,07032025123329_unit_result_125,07032025123329_functional_result_125,,True,0/0,True,0/0,False,NA,,,NA
6,MPFC,126,MPFC_126_transformed_code_6.py,resources/api.py,07032025123336_unit_result_126,07032025123336_functional_result_126,,True,0/0,True,0/0,False,NA,,,NA
7,MPFC,129,MPFC_129_transformed_code_7.py,resources/api.py,07032025123346_unit_result_129,07032025123346_functional_result_129,,True,0/0,True,0/0,False,NA,,,NA
8,MPFC,133,MPFC_133_transformed_code_8.py,resources/api.py,07032025123356_unit_result_133,07032025123356_functional_result_133,,True,0/0,True,0/0,False,NA,,,NA
9,MPFC,140,MPFC_140_transformed_code_9.py,resources/api.py,07032025123404_unit_result_140,07032025123404_functional_result_140,,True,0/0,True,0/0,False,NA,,,NA
10,MPFC,146,MPFC_146_transformed_code_10.py,resources/api.py,07032025123411_unit_result_146,07032025123411_functional_result_146,,True,0/0,True,0/0,False,NA,,,NA
11,MPFC,151,MPFC_151_transformed_code_11.py,resources/api.py,07032025123419_unit_result_151,07032025123419_functional_result_151,,True,0/0,True,0/0,False,NA,,,NA
12,MPFC,157,MPFC_157_transformed_code_12.py,resources/api.py,07032025123431_unit_result_157,07032025123431_functional_result_157,,True,0/0,True,0/0,False,NA,,,NA
13,MPFC,157,MPFC_157_transformed_code_13.py,resources/api.py,07032025123438_unit_result_157,07032025123438_functional_result_157,,True,0/0,True,0/0,False,NA,,,NA
14,MPFC,165,MPFC_165_transformed_code_14.py,resources/api.py,07032025123445_unit_result_165,07032025123445_functional_result_165,,True,0/0,True,0/0,False,NA,,,NA
15,MPFC,166,MPFC_166_transformed_code_15.py,resources/api.py,07032025123453_unit_result_166,07032025123453_functional_result_166,,True,0/0,True,0/0,False,NA,,,NA
16,MPFC,169,MPFC_169_transformed_code_16.py,resources/api.py,07032025123502_unit_result_169,07032025123502_functional_result_169,,True,0/0,True,0/0,False,NA,,,NA
17,MPFC,172,MPFC_172_transformed_code_17.py,resources/api.py,07032025123511_unit_result_172,07032025123511_functional_result_172,,True,0/0,True,0/0,False,NA,,,NA
18,MPFC,178,MPFC_178_transformed_code_18.py,resources/api.py,07032025123518_unit_result_178,07032025123518_functional_result_178,,True,0/0,True,0/0,False,NA,,,NA
19,MPFC,182,MPFC_182_transformed_code_19.py,resources/api.py,07032025123528_unit_result_182,07032025123528_functional_result_182,,True,0/0,True,0/0,False,NA,,,NA
20,MPFC,184,MPFC_184_transformed_code_20.py,resources/api.py,07032025123535_unit_result_184,07032025123535_functional_result_184,,True,0/0,True,0/0,False,NA,,,NA
21,MPFC,201,MPFC_201_transformed_code_21.py,resources/api.py,07032025123546_unit_result_201,07032025123546_functional_result_201,,True,0/0,True,0/0,False,NA,,,NA
22,MPFC,204,MPFC_204_transformed_code_22.py,resources/api.py,07032025123553_unit_result_204,07032025123553_functional_result_204,,True,0/0,True,0/0,False,NA,,,NA
23,MPFC,208,MPFC_208_transformed_code_23.py,resources/api.py,07032025123602_unit_result_208,07032025123602_functional_result_208,,True,0/0,True,0/0,False,NA,,,NA
24,MPFC,214,MPFC_214_transformed_code_24.py,resources/api.py,07032025123617_unit_result_214,07032025123617_functional_result_214,,True,0/0,True,0/0,False,NA,,,NA
25,MPFC,220,MPFC_220_transformed_code_25.py,resources/api.py,07032025123625_unit_result_220,07032025123625_functional_result_220,,True,0/0,True,0/0,False,NA,,,NA
26,MPFC,223,MPFC_223_transformed_code_26.py,resources/api.py,07032025123636_unit_result_223,07032025123636_functional_result_223,,True,0/0,True,0/0,False,NA,,,NA
27,MPFC,224,MPFC_224_transformed_code_27.py,resources/api.py,07032025123643_unit_result_224,07032025123643_functional_result_224,,True,0/0,True,0/0,False,NA,,,NA
28,MPFC,234,MPFC_234_transformed_code_28.py,resources/api.py,07032025123651_unit_result_234,07032025123651_functional_result_234,,True,0/0,True,0/0,False,NA,,,NA
29,MPFC,236,MPFC_236_transformed_code_29.py,resources/api.py,07032025123700_unit_result_236,07032025123700_functional_result_236,,True,0/0,True,0/0,False,NA,,,NA
30,MPFC,241,MPFC_241_transformed_code_30.py,resources/api.py,07032025123714_unit_result_241,07032025123714_functional_result_241,,True,0/0,True,0/0,False,NA,,,NA
31,MPFC,255,MPFC_255_transformed_code_31.py,resources/api.py,07032025123723_unit_result_255,07032025123723_functional_result_255,,True,0/0,True,0/0,False,NA,,,NA
32,MPFC,255,MPFC_255_transformed_code_32.py,resources/api.py,07032025123738_unit_result_255,07032025123738_functional_result_255,,True,0/0,True,0/0,False,NA,,,NA
33,MPFC,267,MPFC_267_transformed_code_33.py,resources/api.py,07032025123801_unit_result_267,07032025123801_functional_result_267,,True,0/0,True,0/0,False,NA,,,NA
34,MPFC,268,MPFC_268_transformed_code_34.py,resources/api.py,07032025123816_unit_result_268,07032025123816_functional_result_268,,True,0/0,True,0/0,False,NA,,,NA
35,MPFC,269,MPFC_269_transformed_code_35.py,resources/api.py,07032025123831_unit_result_269,07032025123831_functional_result_269,,True,0/0,True,0/0,False,NA,,,NA
36,MPFC,270,MPFC_270_transformed_code_36.py,resources/api.py,07032025123842_unit_result_270,07032025123842_functional_result_270,,True,0/0,True,0/0,False,NA,,,NA
37,MPFC,273,MPFC_273_transformed_code_37.py,resources/api.py,07032025123848_unit_result_273,07032025123848_functional_result_273,,True,0/0,True,0/0,False,NA,,,NA
38,MPFC,278,MPFC_278_transformed_code_38.py,resources/api.py,07032025123857_unit_result_278,07032025123857_functional_result_278,,True,0/0,True,0/0,False,NA,,,NA
39,MPFC,282,MPFC_282_transformed_code_39.py,resources/api.py,07032025123907_unit_result_282,07032025123907_functional_result_282,,True,0/0,True,0/0,False,NA,,,NA
40,MPFC,282,MPFC_282_transformed_code_40.py,resources/api.py,07032025123914_unit_result_282,07032025123914_functional_result_282,,True,0/0,True,0/0,False,NA,,,NA
41,MPFC,283,MPFC_283_transformed_code_41.py,resources/api.py,07032025123923_unit_result_283,07032025123923_functional_result_283,,True,0/0,True,0/0,False,NA,,,NA
42,MPFC,288,MPFC_288_transformed_code_42.py,resources/api.py,07032025123931_unit_result_288,07032025123931_functional_result_288,,True,0/0,True,0/0,False,NA,,,NA
43,MPFC,290,MPFC_290_transformed_code_43.py,resources/api.py,07032025123940_unit_result_290,07032025123940_functional_result_290,,True,0/0,True,0/0,False,NA,,,NA
44,MPFC,293,MPFC_293_transformed_code_44.py,resources/api.py,07032025123955_unit_result_293,07032025123955_functional_result_293,,True,0/0,True,0/0,False,NA,,,NA
45,MPFC,297,MPFC_297_transformed_code_45.py,resources/api.py,07032025124003_unit_result_297,07032025124003_functional_result_297,,True,0/0,True,0/0,False,NA,,,NA
46,MPFC,310,MPFC_310_transformed_code_46.py,resources/api.py,07032025124110_unit_result_310,07032025124110_functional_result_310,,True,0/0,True,0/0,False,NA,,,NA
47,MPFC,311,MPFC_311_transformed_code_47.py,resources/api.py,07032025124118_unit_result_311,07032025124118_functional_result_311,,True,0/0,True,0/0,False,NA,,,NA
48,MPFC,316,MPFC_316_transformed_code_48.py,resources/api.py,07032025124138_unit_result_316,07032025124138_functional_result_316,,True,0/0,True,0/0,False,NA,,,NA
