ID,FAULT_TYPE,CODE LINE,TRANSFORMED CODE,FILE,UNIT TEST LOG,FUNCTIONAL TEST LOG,INTEGRATION TEST LOG,UNIT TEST RESULT,UNIT RATIO,FUNCTIONAL TEST RESULT,FUNCTIONAL TEST RATIO,INTEGRATION TEST RESULT,INTEGRATION TEST RATIO,UNIT TEST TOTAL RESULTS,FUNCTIONAL TEST TOTAL RESULTS,INTEGRATION TEST TOTAL RESULTS
37,MPFC,282,MPFC_282_transformed_code_37.py,resources/api.py,21022025125954_unit_result_282,21022025125954_functional_result_282,,True,0/0,True,0/0,False,NA,,,NA
38,MPFC,282,MPFC_282_transformed_code_38.py,resources/api.py,21022025130000_unit_result_282,21022025130000_functional_result_282,,True,0/0,True,0/0,False,NA,,,NA
39,MPFC,283,MPFC_283_transformed_code_39.py,resources/api.py,21022025130008_unit_result_283,21022025130008_functional_result_283,,True,0/0,True,0/0,False,NA,,,NA
40,MPFC,288,MPFC_288_transformed_code_40.py,resources/api.py,21022025130018_unit_result_288,21022025130018_functional_result_288,,True,0/0,True,0/0,False,NA,,,NA
41,MPFC,290,MPFC_290_transformed_code_41.py,resources/api.py,21022025130025_unit_result_290,21022025130025_functional_result_290,,True,0/0,True,0/0,False,NA,,,NA
42,MPFC,293,MPFC_293_transformed_code_42.py,resources/api.py,21022025130038_unit_result_293,21022025130038_functional_result_293,,True,0/0,True,0/0,False,NA,,,NA
43,MPFC,297,MPFC_297_transformed_code_43.py,resources/api.py,21022025130046_unit_result_297,21022025130046_functional_result_297,,True,0/0,True,0/0,False,NA,,,NA
44,MPFC,310,MPFC_310_transformed_code_44.py,resources/api.py,21022025130147_unit_result_310,21022025130147_functional_result_310,,True,0/0,True,0/0,False,NA,,,NA
45,MPFC,311,MPFC_311_transformed_code_45.py,resources/api.py,21022025130153_unit_result_311,21022025130153_functional_result_311,,True,0/0,True,0/0,False,NA,,,NA
46,MPFC,316,MPFC_316_transformed_code_46.py,resources/api.py,21022025130212_unit_result_316,21022025130212_functional_result_316,,True,0/0,True,0/0,False,NA,,,NA
47,MPFC,316,MPFC_316_transformed_code_47.py,resources/api.py,21022025130226_unit_result_316,21022025130226_functional_result_316,,True,0/0,True,0/0,False,NA,,,NA
48,MPFC,333,MPFC_333_transformed_code_48.py,resources/api.py,21022025130252_unit_result_333,21022025130252_functional_result_333,,True,0/0,True,0/0,False,NA,,,NA
49,MPFC,342,MPFC_342_transformed_code_49.py,resources/api.py,21022025130306_unit_result_342,21022025130306_functional_result_342,,True,0/0,True,0/0,False,NA,,,NA
50,MPFC,342,MPFC_342_transformed_code_50.py,resources/api.py,21022025130317_unit_result_342,21022025130317_functional_result_342,,True,0/0,True,0/0,False,NA,,,NA
51,MPFC,343,MPFC_343_transformed_code_51.py,resources/api.py,21022025130326_unit_result_343,21022025130326_functional_result_343,,True,0/0,True,0/0,False,NA,,,NA
52,MPFC,343,MPFC_343_transformed_code_52.py,resources/api.py,21022025130337_unit_result_343,21022025130337_functional_result_343,,True,0/0,True,0/0,False,NA,,,NA
53,MPFC,354,MPFC_354_transformed_code_53.py,resources/api.py,21022025130357_unit_result_354,21022025130357_functional_result_354,,True,0/0,True,0/0,False,NA,,,NA
54,MPFC,357,MPFC_357_transformed_code_54.py,resources/api.py,21022025130410_unit_result_357,21022025130410_functional_result_357,,True,0/0,True,0/0,False,NA,,,NA
55,MPFC,363,MPFC_363_transformed_code_55.py,resources/api.py,21022025130413_unit_result_363,21022025130413_functional_result_363,,True,0/0,True,0/0,False,NA,,,NA
56,MPFC,364,MPFC_364_transformed_code_56.py,resources/api.py,21022025130428_unit_result_364,21022025130428_functional_result_364,,True,0/0,True,0/0,False,NA,,,NA
57,MPFC,365,MPFC_365_transformed_code_57.py,resources/api.py,21022025130433_unit_result_365,21022025130433_functional_result_365,,True,0/0,True,0/0,False,NA,,,NA
58,MPFC,366,MPFC_366_transformed_code_58.py,resources/api.py,21022025130444_unit_result_366,21022025130444_functional_result_366,,True,0/0,True,0/0,False,NA,,,NA
59,MPFC,368,MPFC_368_transformed_code_59.py,resources/api.py,21022025130456_unit_result_368,21022025130456_functional_result_368,,True,0/0,True,0/0,False,NA,,,NA
60,MPFC,371,MPFC_371_transformed_code_60.py,resources/api.py,21022025130509_unit_result_371,21022025130509_functional_result_371,,True,0/0,True,0/0,False,NA,,,NA
61,MPFC,380,MPFC_380_transformed_code_61.py,resources/api.py,21022025130525_unit_result_380,21022025130525_functional_result_380,,True,0/0,True,0/0,False,NA,,,NA
62,MPFC,381,MPFC_381_transformed_code_62.py,resources/api.py,21022025130537_unit_result_381,21022025130537_functional_result_381,,True,0/0,True,0/0,False,NA,,,NA
63,MPFC,383,MPFC_383_transformed_code_63.py,resources/api.py,21022025130546_unit_result_383,21022025130546_functional_result_383,,True,0/0,True,0/0,False,NA,,,NA
64,MPFC,385,MPFC_385_transformed_code_64.py,resources/api.py,21022025130605_unit_result_385,21022025130605_functional_result_385,,True,0/0,True,0/0,False,NA,,,NA
65,MPFC,386,MPFC_386_transformed_code_65.py,resources/api.py,21022025130612_unit_result_386,21022025130612_functional_result_386,,True,0/0,True,0/0,False,NA,,,NA
66,MPFC,387,MPFC_387_transformed_code_66.py,resources/api.py,21022025130624_unit_result_387,21022025130624_functional_result_387,,True,0/0,True,0/0,False,NA,,,NA
67,MPFC,388,MPFC_388_transformed_code_67.py,resources/api.py,21022025130631_unit_result_388,21022025130631_functional_result_388,,True,0/0,True,0/0,False,NA,,,NA
68,MPFC,389,MPFC_389_transformed_code_68.py,resources/api.py,21022025130646_unit_result_389,21022025130646_functional_result_389,,True,0/0,True,0/0,False,NA,,,NA
69,MPFC,390,MPFC_390_transformed_code_69.py,resources/api.py,21022025130655_unit_result_390,21022025130655_functional_result_390,,True,0/0,True,0/0,False,NA,,,NA
70,MPFC,407,MPFC_407_transformed_code_70.py,resources/api.py,21022025130707_unit_result_407,21022025130707_functional_result_407,,True,0/0,True,0/0,False,NA,,,NA
71,MPFC,409,MPFC_409_transformed_code_71.py,resources/api.py,21022025130713_unit_result_409,21022025130713_functional_result_409,,True,0/0,True,0/0,False,NA,,,NA
72,MPFC,410,MPFC_410_transformed_code_72.py,resources/api.py,21022025130720_unit_result_410,21022025130720_functional_result_410,,True,0/0,True,0/0,False,NA,,,NA
73,MPFC,447,MPFC_447_transformed_code_73.py,resources/api.py,21022025130747_unit_result_447,21022025130747_functional_result_447,,True,0/0,True,0/0,False,NA,,,NA
74,MPFC,450,MPFC_450_transformed_code_74.py,resources/api.py,21022025130801_unit_result_450,21022025130801_functional_result_450,,True,0/0,True,0/0,False,NA,,,NA
75,MPFC,453,MPFC_453_transformed_code_75.py,resources/api.py,21022025130808_unit_result_453,21022025130808_functional_result_453,,True,0/0,True,0/0,False,NA,,,NA
76,MPFC,462,MPFC_462_transformed_code_76.py,resources/api.py,21022025130821_unit_result_462,21022025130821_functional_result_462,,True,0/0,True,0/0,False,NA,,,NA
77,MPFC,473,MPFC_473_transformed_code_77.py,resources/api.py,21022025130830_unit_result_473,21022025130830_functional_result_473,,True,0/0,True,0/0,False,NA,,,NA
78,MPFC,489,MPFC_489_transformed_code_78.py,resources/api.py,21022025130841_unit_result_489,21022025130841_functional_result_489,,True,0/0,True,0/0,False,NA,,,NA
79,MPFC,491,MPFC_491_transformed_code_79.py,resources/api.py,21022025130850_unit_result_491,21022025130850_functional_result_491,,True,0/0,True,0/0,False,NA,,,NA
80,MPFC,495,MPFC_495_transformed_code_80.py,resources/api.py,21022025130859_unit_result_495,21022025130859_functional_result_495,,True,0/0,True,0/0,False,NA,,,NA
81,MPFC,498,MPFC_498_transformed_code_81.py,resources/api.py,21022025130907_unit_result_498,21022025130907_functional_result_498,,True,0/0,True,0/0,False,NA,,,NA
82,MPFC,501,MPFC_501_transformed_code_82.py,resources/api.py,21022025130921_unit_result_501,21022025130921_functional_result_501,,True,0/0,True,0/0,False,NA,,,NA
83,MPFC,511,MPFC_511_transformed_code_83.py,resources/api.py,21022025130928_unit_result_511,21022025130928_functional_result_511,,True,0/0,True,0/0,False,NA,,,NA
84,MPFC,513,MPFC_513_transformed_code_84.py,resources/api.py,21022025130943_unit_result_513,21022025130943_functional_result_513,,True,0/0,True,0/0,False,NA,,,NA
85,MPFC,516,MPFC_516_transformed_code_85.py,resources/api.py,21022025130948_unit_result_516,21022025130948_functional_result_516,,True,0/0,True,0/0,False,NA,,,NA
86,MPFC,518,MPFC_518_transformed_code_86.py,resources/api.py,21022025130958_unit_result_518,21022025130958_functional_result_518,,True,0/0,True,0/0,False,NA,,,NA
87,MPFC,519,MPFC_519_transformed_code_87.py,resources/api.py,21022025131006_unit_result_519,21022025131006_functional_result_519,,True,0/0,True,0/0,False,NA,,,NA
88,MPFC,521,MPFC_521_transformed_code_88.py,resources/api.py,21022025131022_unit_result_521,21022025131022_functional_result_521,,True,0/0,True,0/0,False,NA,,,NA
89,MPFC,523,MPFC_523_transformed_code_89.py,resources/api.py,21022025131030_unit_result_523,21022025131030_functional_result_523,,True,0/0,True,0/0,False,NA,,,NA
90,MPFC,526,MPFC_526_transformed_code_90.py,resources/api.py,21022025131039_unit_result_526,21022025131039_functional_result_526,,True,0/0,True,0/0,False,NA,,,NA
91,MPFC,527,MPFC_527_transformed_code_91.py,resources/api.py,21022025131049_unit_result_527,21022025131049_functional_result_527,,True,0/0,True,0/0,False,NA,,,NA
92,MPFC,528,MPFC_528_transformed_code_92.py,resources/api.py,21022025131103_unit_result_528,21022025131103_functional_result_528,,True,0/0,True,0/0,False,NA,,,NA
93,MPFC,538,MPFC_538_transformed_code_93.py,resources/api.py,21022025131116_unit_result_538,21022025131116_functional_result_538,,True,0/0,True,0/0,False,NA,,,NA
