dimension,birth,death
2,0.019489601676274938,0.0235282246942863
2,0.05880236820047678,0.06245729787026961
2,0.05149123831259381,0.05406111628906769
2,0.036851018708862024,0.03907656824301054
2,0.023176166333405107,0.02530100212744871
2,0.016431728605401364,0.018491115030548632
2,0.05579725639906939,0.05753834830123778
2,0.029198672192465178,0.03077057597013717
2,0.021703417323619405,0.02322368214585242
2,0.025658614614221312,0.027071130709749446
2,0.042303353273909876,0.04366881395123227
2,0.040865535087715996,0.042217025423968824
2,0.05921944558752355,0.06052351572263379
2,0.019223811759654433,0.020496475487621724
2,0.014850591904657127,0.015935230346164213
2,0.022183318777451774,0.023259852101031406
2,0.0369322448560531,0.0379670322600461
2,0.049615404935881326,0.05063857238065965
2,0.033688771728315074,0.034710945104774134
2,0.022543067369772,0.0235282246942863
2,0.021994895954616973,0.02286731817153461
2,0.02458148890200035,0.02545315010626371
2,0.02011381651051899,0.020985144533574106
2,0.04357575902679914,0.04441384749168772
2,0.028510964678341483,0.029300471836647014
2,0.017007484862979254,0.017789345789380667
2,0.0671608870440849,0.06792311068960288
2,0.021130618228095012,0.021869426945250434
2,0.01600554836120152,0.016740562147766078
2,0.019007086216242808,0.019734821583048325
2,0.023893067603485214,0.02454199148786689
2,0.02424311955662898,0.024850089632980233
2,0.03798939195468044,0.03850157246082325
2,0.018341132629208407,0.01883409621567484
2,0.023636267541082306,0.024124304519157914
2,0.05996764795653183,0.060449539220355175
2,0.022712801861240518,0.023189342030668098
2,0.023723433746398934,0.024171878692081355
2,0.020507630733805415,0.02095352160101702
2,0.012733218504419552,0.01315236416054661
2,0.04576679395850985,0.046120017586296344
2,0.034196078341251455,0.03454836260298138
2,0.019053018112909503,0.019400188235906668
2,0.01640429720279032,0.016751239195168754
2,0.020952324279264373,0.02125118044939023
2,0.008164472158135852,0.008461203264245666
2,0.018968674642777978,0.01926535630468276
2,0.0247344636975275,0.02499191232773783
2,0.02651846247721691,0.026769242187822347
2,0.003982418475232579,0.004223824687612716
2,0.007819611611108052,0.008054972263734078
2,0.0017281775607796586,0.0019507016952367692
2,0.000987036096804295,0.0012056533766262385
2,0.007582109263841908,0.007799118379772602
2,0.010036767902956007,0.010229882777146128
2,0.0011211367816924814,0.0013131974558360405
2,0.0012603193668457064,0.001444078186874344
2,0.003413884914553214,0.0035944784358365985
2,0.0014993527106589785,0.0016770049089155073
2,0.0009070769604310489,0.0010735371329485272
2,0.003673403005858893,0.003839032072652404
2,0.0038116759462137138,0.003974656936686621
2,0.0015076198806800425,0.001666606151068397
2,0.0008545159112868382,0.0010115804987771595
2,0.0010981886051359348,0.0012465624829402387
2,0.0010286830470861731,0.001176858769197939
2,0.0010059672869994546,0.0011502632658044092
2,0.0011036057528219974,0.0012404293963261019
2,0.001512644743227955,0.0016433465678183606
2,0.003666470599075894,0.0037968681141759674
2,0.014951048141607748,0.015080178987788722
2,0.0033857435516190157,0.0035137071938384995
2,0.0010641409575929638,0.001190579683788268
2,0.003453958187403213,0.003579420102985913
2,0.003535937211087731,0.003658096914289775
2,0.000930903934444314,0.001047659175288841
2,0.003162632288465836,0.003278572890076762
2,0.01974985789409773,0.019861079063502596
2,0.0038623469676815057,0.003972869022571259
2,0.0010127821561329744,0.001122689075323651
2,0.0008913011485604618,0.0009994168014707257
2,0.001024375534371917,0.0011315787920396082
2,0.0008723719662133929,0.000979201357099546
2,0.000805450012993065,0.000912145946189712
2,0.0007782564417387972,0.0008843826799916457
2,0.003474918556510425,0.003580698809555057
2,0.0011602366463739037,0.001265882124916287
2,0.004334820529790708,0.004439569740715809
2,0.006439524033284982,0.006544026209272018
2,0.00632909733809769,0.006432805312223506
2,0.0010681720644198027,0.001171323300215594
2,0.0008553566973361237,0.0009579776574990067
2,0.0005053023327764734,0.000607606127306949
2,0.0010041528744582427,0.001105931257232042
2,0.000748436605896132,0.0008499863194538168
2,0.0035288759191758994,0.003629866262611396
2,0.001653879741736901,0.0017543829722332204
2,0.0013508064601600118,0.0014500234751921646
2,0.0033459697307247137,0.0034449231913670623
2,0.0009391111380145445,0.0010376986792920383
2,0.0008971775951337009,0.0009957367179306731
2,0.0008907306537554893,0.0009891698284357781
2,0.000992709263121451,0.0010910511761902005
2,0.0009165308312232261,0.001014617734505982
2,0.0014831984142914159,0.0015803122489781293
2,0.0006159438761563069,0.0007130549793170953
2,0.0007883660265454029,0.000885441104919193
2,0.0007878828900776985,0.0008842458932754928
2,0.008044474094571648,0.00814002652295323
2,0.0011382591092005392,0.0012336210819450795
2,0.0009942056443116385,0.0010893379496909326
2,0.02965977647418728,0.02975490398515522
2,0.003473218214933599,0.0035676936996853104
2,0.001595332217460929,0.0016890521972538612
2,0.001144718675826342,0.0012382985681531685
2,0.0010364010239721523,0.001128195141842495
2,0.0011101605005277742,0.001201887577419295
2,0.0011328076622110065,0.001224169498323471
2,0.0009334010078663636,0.0010247310719322137
2,0.0008835815185712735,0.0009739297078333123
