componente_id,nodo_id,num_puntos,prefijo_mayoritario,porcentaje
32,cube234_cluster0,129,MRS,100.0
32,cube358_cluster0,173,MRS,100.0
32,cube341_cluster0,78,MRS,100.0
32,cube292_cluster0,75,MRS,100.0
32,cube322_cluster0,114,MRS,100.0
32,cube346_cluster0,77,MRS,100.0
32,cube290_cluster0,118,MRS,100.0
32,cube267_cluster0,68,MRS,100.0
32,cube302_cluster0,146,MRS,100.0
32,cube235_cluster0,59,MRS,100.0
32,cube269_cluster0,42,MRS,100.0
32,cube251_cluster0,15,MRS,100.0
32,cube362_cluster0,176,MRS,100.0
32,cube280_cluster0,182,MRS,100.0
32,cube281_cluster0,160,MRS,100.0
33,cube241_cluster0,57,MVIV,100.0
33,cube258_cluster0,57,MVIV,100.0
33,cube257_cluster0,57,MVIV,100.0
33,cube239_cluster0,56,MVIV,100.0
34,cube260_cluster0,112,MVIV,100.0
34,cube259_cluster0,57,MVIV,100.0
34,cube243_cluster0,31,MVIV,100.0
34,cube244_cluster0,29,MVIV,100.0
35,cube247_cluster0,57,MVIV,100.0
36,cube264_cluster0,57,MVIV,100.0
36,cube263_cluster0,59,MVIV,100.0
37,cube266_cluster0,60,MVIV,100.0
38,cube282_cluster0,60,MVIV,100.0
38,cube272_cluster0,107,MVIV,100.0
39,cube285_cluster0,56,MVIV,100.0
40,cube310_cluster0,27,MVIV,100.0
40,cube294_cluster0,58,MVIV,100.0
40,cube296_cluster0,117,MVIV,100.0
40,cube309_cluster0,27,MVIV,100.0
41,cube319_cluster0,29,WIDS,100.0
41,cube338_cluster0,87,WIDS,100.0
41,cube315_cluster0,54,WIDS,100.0
41,cube337_cluster0,35,WIDS,100.0
41,cube335_cluster0,35,WIDS,100.0
41,cube318_cluster0,57,WIDS,100.0
41,cube316_cluster0,28,WIDS,100.0
41,cube336_cluster0,86,WIDS,100.0
42,cube354_cluster0,60,WIDS,100.0
42,cube330_cluster0,62,WIDS,100.0
42,cube334_cluster0,59,WIDS,100.0
42,cube355_cluster0,58,WIDS,100.0
43,cube340_cluster0,21,WIDS,100.0
43,cube339_cluster0,57,WIDS,100.0
44,cube372_cluster0,29,WIDS,100.0
44,cube350_cluster0,58,WIDS,100.0
44,cube414_cluster0,110,WIDS,100.0
44,cube446_cluster0,141,WIDS,100.0
44,cube373_cluster0,53,WIDS,100.0
44,cube352_cluster0,54,WIDS,100.0
44,cube447_cluster0,58,WIDS,100.0
44,cube351_cluster0,113,WIDS,100.0
44,cube377_cluster0,81,WIDS,100.0
44,cube487_cluster0,58,WIDS,100.0
44,cube488_cluster0,58,WIDS,100.0
44,cube392_cluster0,58,WIDS,100.0
44,cube389_cluster0,58,WIDS,100.0
44,cube413_cluster0,27,WIDS,100.0
44,cube376_cluster0,111,WIDS,100.0
45,cube365_cluster0,13,MSFC,100.0
46,cube378_cluster0,58,WIDS,100.0
47,cube384_cluster0,57,MVIV,100.0
47,cube383_cluster0,57,MVIV,100.0
48,cube421_cluster0,54,MRS,100.0
48,cube394_cluster0,55,MRS,100.0
48,cube417_cluster0,55,MRS,100.0
48,cube396_cluster0,55,MRS,100.0
49,cube408_cluster0,56,MVIV,100.0
50,cube412_cluster0,54,WIDS,100.0
51,cube418_cluster0,58,MRS,100.0
51,cube450_cluster0,59,MRS,100.0
51,cube492_cluster0,58,MRS,100.0
52,cube461_cluster0,57,MRS,100.0
52,cube454_cluster0,22,MRS,100.0
52,cube422_cluster0,17,MRS,100.0
52,cube426_cluster0,53,MRS,100.0
53,cube424_cluster0,56,MRS,100.0
53,cube456_cluster0,115,MRS,100.0
54,cube498_cluster0,116,MRS,100.0
54,cube557_cluster0,135,MRS,100.0
54,cube496_cluster0,119,MRS,100.0
54,cube615_cluster0,59,MRS,100.0
54,cube501_cluster0,70,MRS,100.0
54,cube681_cluster0,166,MRS,100.0
54,cube558_cluster0,34,MRS,100.0
54,cube556_cluster0,59,MRS,100.0
54,cube500_cluster0,67,MRS,100.0
54,cube497_cluster0,172,MRS,100.0
54,cube559_cluster0,32,MRS,100.0
54,cube427_cluster0,66,MRS,100.0
54,cube614_cluster0,51,MRS,100.0
54,cube551_cluster0,227,MRS,100.0
54,cube464_cluster0,61,MRS,100.0
54,cube682_cluster0,173,MRS,100.0
54,cube463_cluster0,124,MRS,100.0
54,cube616_cluster0,233,MRS,100.0
54,cube554_cluster0,67,MRS,100.0
54,cube495_cluster0,42,MRS,100.0
54,cube555_cluster0,237,MRS,100.0
54,cube428_cluster0,58,MRS,100.0
54,cube617_cluster0,59,MRS,100.0
54,cube502_cluster0,104,MRS,100.0
54,cube505_cluster0,62,MRS,100.0
54,cube553_cluster0,60,MRS,100.0
54,cube552_cluster0,57,MRS,100.0
54,cube503_cluster0,118,MRS,100.0
54,cube462_cluster0,60,MRS,100.0
54,cube460_cluster0,60,MRS,100.0
55,cube436_cluster0,13,MSFC,100.0
56,cube438_cluster0,14,WLEC,100.0
56,cube523_cluster0,41,WLEC,100.0
56,cube518_cluster0,55,WLEC,100.0
56,cube474_cluster0,172,WLEC,100.0
56,cube583_cluster0,112,WLEC,100.0
56,cube584_cluster0,56,WLEC,100.0
56,cube524_cluster0,113,WLEC,100.0
56,cube473_cluster0,62,WLEC,100.0
56,cube651_cluster0,56,WLEC,100.0
56,cube650_cluster0,57,WLEC,100.0
56,cube517_cluster0,64,WLEC,100.0
57,cube449_cluster0,59,MRS,100.0
57,cube490_cluster0,115,MRS,100.0
58,cube455_cluster0,120,MRS,100.0
59,cube457_cluster0,58,MRS,100.0
59,cube494_cluster0,172,MRS,100.0
60,cube781_cluster0,166,WLEC,100.0
60,cube646_cluster0,123,WLEC,56.1
60,cube842_cluster0,109,WLEC,100.0
60,cube763_cluster0,71,WLEC,100.0
60,cube638_cluster0,120,MSFC,53.33
60,cube778_cluster0,218,MSFC,100.0
60,cube629_cluster0,19,WLEC,100.0
60,cube630_cluster0,128,MSFC,100.0
60,cube782_cluster0,46,WLEC,100.0
60,cube649_cluster0,106,WLEC,100.0
60,cube588_cluster0,23,WLEC,100.0
60,cube570_cluster0,14,WLEC,92.86
60,cube836_cluster0,171,WLEC,100.0
60,cube469_cluster0,127,MSFC,100.0
60,cube581_cluster0,84,WLEC,100.0
60,cube840_cluster0,202,WLEC,100.0
60,cube839_cluster0,169,WLEC,100.0
60,cube847_cluster0,56,WLEC,100.0
60,cube710_cluster0,183,WLEC,100.0
60,cube512_cluster0,80,MSFC,100.0
60,cube698_cluster0,279,WLEC,100.0
60,cube769_cluster0,166,WLEC,100.0
60,cube580_cluster0,14,WLEC,100.0
60,cube768_cluster0,313,WLEC,100.0
60,cube772_cluster0,136,WLEC,100.0
60,cube636_cluster0,13,MSFC,61.54
60,cube770_cluster0,55,WLEC,100.0
60,cube844_cluster0,61,MSFC,100.0
60,cube704_cluster0,17,WLEC,100.0
60,cube841_cluster0,176,WLEC,100.0
60,cube765_cluster0,119,WLEC,100.0
60,cube838_cluster0,47,WLEC,100.0
60,cube780_cluster0,95,WLEC,100.0
60,cube832_cluster0,91,WLEC,100.0
60,cube717_cluster0,125,WLEC,100.0
60,cube835_cluster0,80,WLEC,100.0
60,cube631_cluster0,137,MSFC,100.0
60,cube513_cluster0,63,MSFC,100.0
60,cube716_cluster0,57,MSFC,100.0
60,cube824_cluster0,56,WLEC,98.21
60,cube706_cluster0,72,WLEC,91.67
60,cube775_cluster0,73,WLEC,100.0
60,cube643_cluster0,15,MSFC,100.0
60,cube648_cluster0,235,WLEC,100.0
60,cube587_cluster0,14,WLEC,92.86
60,cube699_cluster0,59,MSFC,100.0
60,cube707_cluster0,17,WLEC,64.71
60,cube566_cluster0,118,MSFC,100.0
60,cube849_cluster0,57,MSFC,100.0
60,cube653_cluster0,117,WLEC,100.0
60,cube703_cluster0,13,WLEC,100.0
60,cube709_cluster0,301,WLEC,64.45
60,cube574_cluster0,116,MSFC,100.0
60,cube829_cluster0,125,WLEC,100.0
60,cube837_cluster0,54,WLEC,100.0
60,cube695_cluster0,13,WLEC,100.0
60,cube647_cluster0,188,WLEC,100.0
60,cube711_cluster0,59,WLEC,100.0
60,cube764_cluster0,175,WLEC,100.0
60,cube776_cluster0,175,WLEC,100.0
60,cube892_cluster0,56,WLEC,100.0
60,cube786_cluster0,117,MSFC,100.0
60,cube830_cluster0,180,WLEC,100.0
60,cube773_cluster0,130,WLEC,100.0
60,cube825_cluster0,172,WLEC,65.7
60,cube767_cluster0,60,WLEC,100.0
60,cube640_cluster0,52,MSFC,98.08
60,cube586_cluster0,61,MSFC,100.0
60,cube511_cluster0,67,MSFC,100.0
60,cube697_cluster0,229,WLEC,100.0
60,cube898_cluster0,122,WLEC,100.0
60,cube891_cluster0,360,WLEC,100.0
60,cube777_cluster0,116,WLEC,95.69
60,cube696_cluster0,178,WLEC,100.0
60,cube470_cluster0,37,MSFC,100.0
60,cube888_cluster0,59,MSFC,100.0
60,cube779_cluster0,158,MSFC,100.0
60,cube831_cluster0,384,WLEC,100.0
60,cube899_cluster0,186,WLEC,100.0
60,cube644_cluster0,22,MSFC,100.0
60,cube708_cluster0,398,MSFC,70.85
60,cube589_cluster0,80,WLEC,100.0
60,cube571_cluster0,13,WLEC,53.85
60,cube637_cluster0,26,WLEC,76.92
60,cube890_cluster0,123,WLEC,100.0
60,cube774_cluster0,20,WLEC,100.0
61,cube539_cluster0,55,MVIV,100.0
61,cube478_cluster0,16,MVIV,100.0
61,cube540_cluster0,36,MVIV,100.0
61,cube480_cluster0,16,MVIV,100.0
61,cube541_cluster0,55,MVIV,100.0
61,cube538_cluster0,36,MVIV,100.0
61,cube481_cluster0,15,MVIV,100.0
61,cube479_cluster0,15,MVIV,100.0
62,cube486_cluster0,58,WLEC,100.0
62,cube549_cluster0,58,WLEC,100.0
62,cube485_cluster0,118,WLEC,100.0
62,cube548_cluster0,56,WLEC,100.0
62,cube483_cluster0,112,WLEC,100.0
62,cube545_cluster0,116,WLEC,100.0
62,cube544_cluster0,52,WLEC,100.0
62,cube482_cluster0,111,WLEC,100.0
63,cube563_cluster0,53,MSFC,100.0
63,cube564_cluster0,236,MSFC,100.0
63,cube507_cluster0,66,MSFC,100.0
63,cube626_cluster0,41,MSFC,100.0
64,cube856_cluster0,278,WLEC,100.0
64,cube668_cluster0,13,WLEC,100.0
64,cube728_cluster0,15,WLEC,100.0
64,cube851_cluster0,56,WLEC,100.0
64,cube603_cluster0,107,WLEC,100.0
64,cube905_cluster0,223,WLEC,100.0
64,cube664_cluster0,13,WLEC,100.0
64,cube663_cluster0,53,WLEC,100.0
64,cube854_cluster0,56,WLEC,100.0
64,cube599_cluster0,225,WLEC,100.0
64,cube734_cluster0,225,WLEC,100.0
64,cube733_cluster0,103,WLEC,100.0
64,cube791_cluster0,184,WLEC,100.0
64,cube605_cluster0,70,WLEC,100.0
64,cube729_cluster0,289,WLEC,100.0
64,cube793_cluster0,161,WLEC,100.0
64,cube602_cluster0,73,WLEC,100.0
64,cube792_cluster0,57,WLEC,100.0
64,cube662_cluster0,237,WLEC,100.0
64,cube661_cluster0,74,WLEC,100.0
64,cube855_cluster0,20,WLEC,100.0
64,cube598_cluster0,87,WLEC,100.0
64,cube730_cluster0,112,WLEC,100.0
64,cube853_cluster0,226,WLEC,100.0
64,cube794_cluster0,230,WLEC,100.0
64,cube904_cluster0,111,WLEC,100.0
64,cube665_cluster0,26,WLEC,100.0
64,cube789_cluster0,203,WLEC,100.0
64,cube852_cluster0,112,WLEC,100.0
64,cube737_cluster0,271,WLEC,100.0
64,cube788_cluster0,339,WLEC,100.0
64,cube736_cluster0,310,WLEC,100.0
64,cube667_cluster0,70,WLEC,100.0
64,cube533_cluster0,21,WLEC,100.0
64,cube735_cluster0,14,WLEC,100.0
64,cube790_cluster0,13,WLEC,100.0
64,cube857_cluster0,225,WLEC,100.0
64,cube787_cluster0,119,WLEC,100.0
65,cube546_cluster0,64,WLEC,100.0
66,cube595_cluster0,35,WLEC,100.0
66,cube657_cluster0,119,WLEC,100.0
66,cube594_cluster0,17,WLEC,100.0
67,cube609_cluster0,177,WLEC,100.0
67,cube678_cluster0,111,WLEC,100.0
67,cube612_cluster0,167,WLEC,100.0
67,cube611_cluster0,115,WLEC,100.0
67,cube610_cluster0,111,WLEC,100.0
68,cube627_cluster0,58,MSFC,100.0
68,cube622_cluster0,58,MSFC,100.0
69,cube624_cluster0,171,MSFC,100.0
69,cube692_cluster0,24,MSFC,100.0
70,cube655_cluster0,60,WLEC,100.0
